event_id,ts,proba,status,customer_response,resolution_source,updated_at
1,2025-11-23T08:17:11,0.0525,CONFIRMED_LEGIT,YES,AUTO_DEMO,2025-11-23T11:11:13
10,2025-11-23T08:17:13,0.355,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
15,2025-11-23T08:17:14,0.035,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
16,2025-11-23T08:17:15,0.115,CONFIRMED_LEGIT,YES,AUTO_DEMO,2025-11-23T11:11:13
24,2025-11-23T08:17:18,0.355,CONFIRMED_LEGIT,YES,AUTO_DEMO,2025-11-23T11:11:13
28,2025-11-23T08:17:19,0.035,CONFIRMED_LEGIT,YES,AUTO_DEMO,2025-11-23T11:11:13
30,2025-11-23T08:17:20,0.0575,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
37,2025-11-23T08:17:22,0.44,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
45,2025-11-23T08:17:24,0.18,CONFIRMED_LEGIT,YES,AUTO_DEMO,2025-11-23T11:11:13
49,2025-11-23T08:17:25,0.0325,CONFIRMED_LEGIT,YES,AUTO_DEMO,2025-11-23T11:11:13
53,2025-11-23T08:17:28,0.1925,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
54,2025-11-23T08:17:28,0.1025,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
57,2025-11-23T08:17:29,0.205,CONFIRMED_LEGIT,YES,AUTO_DEMO,2025-11-23T11:11:13
62,2025-11-23T08:17:30,0.205,CONFIRMED_LEGIT,YES,AUTO_DEMO,2025-11-23T11:11:13
73,2025-11-23T08:17:34,0.1175,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
80,2025-11-23T08:17:36,0.32,CONFIRMED_LEGIT,YES,AUTO_DEMO,2025-11-23T11:11:13
82,2025-11-23T08:17:37,0.2325,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
86,2025-11-23T08:17:38,0.18,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
91,2025-11-23T08:17:40,0.115,CONFIRMED_LEGIT,YES,AUTO_DEMO,2025-11-23T11:11:13
101,2025-11-23T08:17:45,0.3875,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
112,2025-11-23T08:17:48,0.315,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
148,2025-11-23T08:18:01,0.1175,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
159,2025-11-23T08:18:05,0.12,CONFIRMED_LEGIT,YES,AUTO_DEMO,2025-11-23T11:11:13
169,2025-11-23T08:18:09,0.32,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
177,2025-11-23T08:18:11,0.0875,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
180,2025-11-23T08:18:13,0.2475,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
188,2025-11-23T08:18:15,1.0,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T08:21:16
191,2025-11-23T08:18:16,0.205,CONFIRMED_FRAUD,NO,AUTO_DEMO,2025-11-23T11:11:13
